OBJECTID,CRASH ID,CRASH LEVEL CODE,CRASH LEVEL,CRASH TYPE (Code),CRASH TYPE,DATE,YEAR,DAY OF MONTH,MONTH,DAY (Code),DAY OF WEEK (Code),DAY OF WEEK,TIME (Military),CASE NUMBER,LATITUDE,LONGITUDE,x,y
467197,1269707,2,Serious injury,14,Pedestrian,08/09/2024,2024,9,September,8,1,Sunday,0216,20240908021600,35.265865,-80.749866,-8989034.323,4200071.028
467255,1269765,2,Serious injury,1,Ran off road right,07/09/2024,2024,9,September,7,7,Saturday,2340,20240907234501,35.100654,-80.916973,-9007636.593,4177568.98
467793,1270303,2,Serious injury,1,Ran off road right,07/09/2024,2024,9,September,7,7,Saturday,0117,20240908011702,35.209175,-80.664356,-8979515.39,4192344.587
467940,1270450,1,fatality,30,Angle,09/09/2024,2024,9,September,9,2,Monday,0445,20240909044502,35.258607,-80.690258,-8982398.789,4199081.514
468043,1270553,1,fatality,27,Head On,07/09/2024,2024,9,September,7,7,Saturday,1147,20240907114701,35.140715,-80.814012,-8996175.024,4183021.165
468249,1270759,2,Serious injury,1,Ran off road right,16/09/2024,2024,9,September,16,2,Monday,1714,20240916171403,35.219322,-80.799739,-8994586.161,4193727.153
468310,1270820,2,Serious injury,14,Pedestrian,17/09/2024,2024,9,September,17,3,Tuesday,1800,20240917180000,35.251210,-80.789807,-8993480.536,4198073.139
468330,1270840,2,Serious injury,30,Angle,15/09/2024,2024,9,September,15,1,Sunday,1700,20240915170002,35.404925,-80.841128,-8999193.566,4219046.845
468642,1271275,2,Serious injury,27,Head On,17/09/2024,2024,9,September,18,4,Wednesday,0055,20240918005703,35.294681,-80.793803,-8993925.369,4204000.515
468885,1271518,2,Serious injury,23,Left turn; same roadway,23/09/2024,2024,9,September,23,2,Monday,0923,20240923072200,35.368856,-80.830343,-8997992.985,4214121.812
469069,1271702,2,Serious injury,24,Left turn; different roadways,25/09/2024,2024,9,September,25,4,Wednesday,0620,20240925062000,35.258020,-80.783306,-8992756.848,4199001.489
