OBJECTID,NUM_Ped_Bike_Crashes,NUM_MotoristCrashes,NUM_Ped_Bike_Killed,NUM_Ped_Bike_SeriousInjury,NUM_Motorist_Killed,NUM_Motorist_SeriousInjury,KSI_Revised,Street,HIN_Version,GlobalID,Shape__Length
28740,0,2,0,0,1,1,6,Winedale Ln,2014-2018,73c9cbdf-1bce-443f-965f-0da2c3853ef5,2399.04722038
28741,0,1,0,0,0,1,1,S Tryon St,2014-2018,0967dafc-c5f8-4215-be2d-c4d0ef16343e,2619.83072219609
28742,1,0,0,1,0,0,3,Queens Rd,2014-2018,b7c90faf-47cc-4d71-9cae-6faa4a2d85fd,2149.05137437378
28743,0,1,0,0,1,0,5,Harwyn Dr,2017-2021,b1447fa9-9e76-4cc6-9610-653201e4024f,1278.43698958971
28744,0,3,0,0,0,3,3,Barton Creek Dr,2016-2020,526bbccd-9725-4875-95d1-57dcb725ed86,1720.71002281476
28745,0,1,0,0,0,1,1,Rea Rd,2013-2017,b6eaf1ea-5505-4738-be3e-22c834818108,2634.1376308013
28746,1,0,1,0,0,0,5,Monroe Rd,2019-2023,8c4251aa-189e-4e27-bfa2-4eb7f05ecda9,2617.5169418672
28747,0,1,0,0,0,1,1,Albemarle Rd,2018-2022,28481061-66c9-49bb-86b7-cc5a7ea77be1,2552.51827726607
28748,1,0,1,0,0,0,5,Old Steele Creek Rd,2019-2023,fbbc80c6-ba45-4562-9e04-623bb4ddcffd,2496.48714164791
28749,1,0,1,0,0,0,5,Cabotwood Ln,2017-2021,38ac70bb-1ad2-4298-80a2-e87a44dee830,694.120326541866
28750,,,,,,,8,MINT,2013-2017,124b704b-d73f-4f5c-8537-33738f95163c,457.034027827609
28751,0,1,0,0,0,1,1,S Wendover Rd,2015-2019,6a3d1749-40fa-478b-88dc-f54c6d468326,2163.12179578363
28752,0,1,0,0,0,1,1,Perth Ct,2018-2022,87a0e7ac-b2bc-4a3d-99d6-24097b8553cc,775.577621883739
28753,1,0,0,1,0,0,3,Penny Wy,2016-2020,9efffd57-4534-4ea4-9842-54bad168649b,492.099545788795
28754,1,0,1,0,0,0,5,Louise Av,2014-2018,fda638c5-6797-4a1d-9aae-727ae4c4e6c1,1763.88899464891
28755,0,1,0,0,0,1,1,E Brookshire Fr Ra,2019-2023,2212f2b8-91e5-417d-8b7f-398592ccdfb4,452.882917930879
28756,0,1,0,0,0,1,1,N Graham St,2015-2019,3d658853-18e6-4531-8327-5b029ab2461d,2554.15571484552
28757,0,2,0,0,0,2,2,Reddman Rd,2018-2022,e6a367d5-b1d1-4841-9e48-395eb19d1f44,1996.77816037944
28758,0,2,0,0,2,0,10,Rea Rd,2014-2018,744456eb-0850-402a-9220-d67c1101f341,2633.4218216598
28759,0,2,0,0,0,2,2,Monroe Rd,2014-2018,ebaba1cb-e82d-4348-85c9-e3cd14b496e3,2617.51679406201
28760,0,1,0,0,0,1,1,Scaleybark Rd,2013-2017,0c867c11-9cd5-49ca-bb3a-eeab2e961c28,2609.78569836781
28761,1,0,1,0,0,0,5,Covington Commons Dr,2015-2019,1e0f811b-d3b2-4789-8dcf-9a3258557f1f,872.659646277198
28762,1,0,0,1,0,0,3,W Mallard Creek Church Rd,2018-2022,a5f3d7e0-f013-4c5c-839e-dd398cf53437,2216.04111957195
28763,0,1,0,0,0,1,1,Providence Rd,2016-2020,4814eb61-54cc-4976-98e0-e190a231e20a,2631.4649229768
28764,1,0,0,1,0,0,3,Wallace Ln,2017-2021,413c27b1-16cb-4169-82ac-e1fab98095b0,2321.43067380931
28765,1,0,1,0,0,0,5,Moores Chapel Rd,2016-2020,d1eecea5-557a-49e8-8fc0-ad654921821a,2113.27545927235
28766,0,1,0,0,0,1,1,Marvin Rd,2019-2023,57730532-af89-429c-b26b-c9d0e413006c,1348.50391981921
28767,0,1,0,0,1,0,5,Colony Rd,2014-2018,881228aa-4737-415c-91bc-f091521086d5,2589.73351803448
28768,0,1,0,0,0,1,1,E 5th St,2016-2020,e14e51d0-fab2-4f9f-93e0-0c8de45c094b,1818.16280330283
28769,0,1,0,0,0,1,1,Old Timber Rd,2013-2017,03dfe7ec-8e2f-4e3f-8af3-154edb04558b,1774.11802431142
28770,0,1,0,0,1,0,5,S Tryon St,2015-2019,87f57103-1c7c-4232-85c6-e320e7d1b191,2619.82950913198
28771,0,2,0,0,0,2,2,N College St,2017-2021,7f14a55d-f026-44a3-901b-5fdd2e9fb585,2186.49540733152
28772,0,1,0,0,0,1,1,Sharon Rd,2014-2018,9e8e99d2-70ab-462b-b634-52bd44d62f1c,2625.91855287379
28773,0,1,0,0,1,0,5,Weddington Rd,2014-2018,c7a130b2-ee79-4089-89f5-91998f940778,2503.6350320033
28774,0,2,0,0,1,1,6,Sunset Rd,2015-2019,bb2b5fa0-2cc6-4fdb-bca7-611972bd7cf8,2639.0605418255
28775,0,1,0,0,1,0,5,Sledge Rd,2018-2022,52775484-c532-414a-908d-29207c2744c8,1424.03248653188
28776,0,1,0,0,1,0,5,Mallard Creek Rd,2016-2020,5533f5f0-6658-4574-81e5-d47acf7b106b,2543.12868121716
28777,1,4,0,1,1,3,11,W Sugar Creek Rd,2014-2018,2369273f-944f-4e0d-94a5-143e65fc004a,2502.55952203931
28778,0,1,0,0,0,1,1,N I-77 Hy,2018-2022,a1905082-4c12-438f-a167-7025aa658448,2584.95106920675
28779,0,1,0,0,1,0,5,Brockton Ln,2019-2023,295a6910-18c3-46f6-b65a-ff2aa0a7a48b,1230.01452487763
28780,1,0,0,1,0,0,3,W 28th St,2015-2019,c78ac8a4-7427-47ab-9d7f-5c1e03010164,1564.04046384701
28781,0,1,0,0,0,1,1,Sonoma Valley Dr,2019-2023,1ed589d3-3884-4723-8eff-7d1bf3092d63,910.02059181151
28782,1,0,0,1,0,0,3,Eastway Crossing Dr,2017-2021,644be1f5-50e8-41ec-a813-8533e89b5cc6,248.105985276345
28783,1,2,1,0,0,2,7,Beatties Ford Rd,2018-2022,db411259-b47f-4c04-8d4f-ebc25cb8e7eb,2485.35070712893
28784,0,1,0,0,0,1,1,Sutter Creek Ln,2017-2021,bd4ef18c-5ad6-4104-b158-34f10af64399,174.568220814789
28785,1,0,1,0,0,0,5,Tilden Rd,2016-2020,716ce08d-33cb-424b-b666-c4f643be2830,1737.83508853335
28786,0,1,0,0,0,1,1,S Wendover Rd,2019-2023,0cf13cd1-52f5-4827-a3e6-91931a17b8a1,2163.12183343469
28787,1,0,1,0,0,0,5,Reddman Rd,2013-2017,e5ad24c3-7f63-48d3-a46c-dffbabd1d352,1994.26962446536
28788,0,1,0,0,1,0,5,Starnes Randall Rd,2017-2021,49e1cdfe-0550-4990-9d05-b6dc14e96bdc,2385.44029538541
28789,0,1,0,0,0,1,1,Portland Av,2017-2021,079ca40d-fb76-43be-a20a-dda47213d355,441.870258700097
